libraryPageTitle,sourceUrl,targetUrl,collectionPageTitle,section
researching objects from the wellcome historical medical museum,wellcomelibrary.org/what-we-do/history-of-wellcome-library/wellcome-historical-medical-museum/,https://wellcomecollection.org/pages/YE99nRAAACMAb7YE,What's in the Collection?,Remaining
conditions of use,wellcomelibrary.org/what-we-do/library-strategy-and-policy/conditions-of-use/,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Smm,The library,Remaining
computer use policy,wellcomelibrary.org/what-we-do/library-strategy-and-policy/computer-use-policy/,https://wellcomecollection.org/pages/Wuw19yIAAK1Z3Smm,The library,Remaining
exhibition loan conditions,wellcomelibrary.org/what-we-do/library-strategy-and-policy/exhibition-loan-conditions/,https://wellcomecollection.org/pages/W7ZDghAAALiY1_Pb,Policies and plans,Remaining
preservation policy,wellcomelibrary.org/what-we-do/library-strategy-and-policy/preservation-policy/,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,Remaining
use of electronic resources,wellcomelibrary.org/what-we-do/library-strategy-and-policy/use-of-e-resources/,https://wellcomecollection.org/pages/YDaP2BMAACUAT7DS,Databases,Remaining
about this site,wellcomelibrary.org/about-this-site/,https://developers.wellcomecollection.org/,Wellcome Collection Developers,Remaining
copyright clearance and takedown,wellcomelibrary.org/about-this-site/copyright-clearance-and-takedown/,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,Remaining
terms and conditions,wellcomelibrary.org/about-this-site/terms-and-conditions/,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,Remaining
exhibition loan conditions,wellcomelibrary.org/content/documents/policy-documents/loans-out.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and Plans,Remaining
library application form,wellcomelibrary.org/content/documents/libraryapplication.pdf,https://wellcomecollection.org/pages/X_2eexEAACQAZLBi,Library membership,pdf
Digitisation reports,wellcomelibrary.org/content/documents/22082/JPEG2000-preservation-format.pdf,https://developers.wellcomecollection.org/,Wellcome Collection Developers,pdf
Digitisation reports,wellcomelibrary.org/content/documents/22082/ODD.pdf,https://developers.wellcomecollection.org/,Wellcome Collection Developers,pdf
Digitisation reports,wellcomelibrary.org/content/documents/22082/TEI-ENRICH-schema.pdf,https://developers.wellcomecollection.org/,Wellcome Collection Developers,pdf
Biography and family history guide,wellcomelibrary.org/content/documents/biography-and-family-history-guide.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Medical archives and manusccripts survey,wellcomelibrary.org/content/documents/medical-archives-and-manuscripts-survey.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Hunter and the museum economy,wellcomelibrary.org/content/documents/john-hunter-and-the-museum-oeconomy,https://wellcomecollection.org/works/hcvxp2xa,works page,pdf
2009 year in review,wellcomelibrary.org/content/documents/Wellcome_Library_2009_Year_in_Review.pdf,https://wellcomecollection.org/works/tc9tgsu3,works page,pdf
Exibition loan conditions,wellcomelibrary.org/content/documents/exhibition-loan-conditions.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,pdf
Collections development policy,wellcomelibrary.org/content/documents/collection-development-policy.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,What we do,pdf
Rights clearance exercise,wellcomelibrary.org/content/documents/rights-clearance-exercise.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,pdf
WL open access fund applicaiton form,wellcomelibrary.org/content/documents/Wellcome_Library_Open_Access_Fund_Application_Form.pdf,https://wellcome.org/grant-funding/guidance/open-access-guidance/open-access-funding,,pdf
Preservation policy,wellcomelibrary.org/content/documents/Preservation-Policy-2014.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,pdf
Access to personal data,wellcomelibrary.org/content/documents/access-to-personal-data.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,pdf
WL open access fund application,wellcomelibrary.org/content/documents/Wellcome_Library_Open_Access_Fund_Application_Form_PDF_form_Aug_2016.pdf,https://wellcome.org/grant-funding/guidance/open-access-guidance/open-access-funding,WT open access funding,pdf
Exhibition loan conditions,wellcomelibrary.org/content/documents/Exhibition_Loan_Conditions_2018.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,pdf
Loans out,wellcomelibrary.org/content/documents/loans-out.pdf,https://wellcomecollection.org/pages/Wvmu3yAAAIUQ4C7F,Policies and plans,pdf
Catalogue of chinese books and manuscripts,wellcomelibrary.org/content/documents/catalogue-of-chinese-books-and-manscripts.pdf,https://wellcomecollection.org/works/kfksrhxy,works page,pdf
Descriptive and analytical catalogue of persian manuscripts,wellcomelibrary.org/content/documents/a-descriptive-and-analytical-catalogue-of-persian-manuscripts.pdf,https://wellcomecollection.org/works/fyz8npv6,works page,pdf
Handlist of sanskrit and prakrit manuscripts vol 1,wellcomelibrary.org/content/documents/a-handlist-of-sanskrit-and-prakrit-manuscripts-volume-1.pdf,https://wellcomecollection.org/works/n5usb8kq,works page,pdf
Handlist of sanskrit and prakrit manuscripts vol 2,wellcomelibrary.org/content/documents/a-handlist-of-sanskrit-and-prakrit-manuscripts-volume-2.pdf,https://wellcomecollection.org/works/n5usb8kq,works page,pdf
Catalogue of sinhalese manuscripts,wellcomelibrary.org/content/documents/catalogue-of-the-sinhalese-manuscripts.pdf,https://wellcomecollection.org/works/ee2x3kwu,works page,pdf
Catalogue of tibetan manuscripts and xylographs,wellcomelibrary.org/content/documents/catalogue-of-tibetan-manuscripts-and-xylographs.pdf,https://wellcomecollection.org/works/peubpyzh,works page,pdf
Catalouge of burmense and burmese pali manuscripts,wellcomelibrary.org/content/documents/catalogue-of-burmese-and-burmese-pali-manuscripts.pdf,https://wellcomecollection.org/works/y85tqt8c,works page,pdf
Catalogue of hinid manuscripts,wellcomelibrary.org/content/documents/a-descriptive-catalogue-of-the-hindi-manuscripts.pdf,https://wellcomecollection.org/works/shnkxmbj,works page,pdf
Japanese medical,wellcomelibrary.org/content/documents/japanese-medical.pdf,https://wellcomecollection.org/collections,Collections section,pdf
Women in medicine archives guide,wellcomelibrary.org/content/documents/women-in-medicine-archives.pdf,https://wellcomecollection.org/collections,Collections section,pdf
